Sample	ASV	Relative_abundance	Prevalence_Compartment	Species	Phylum	Soil_div	Compartment
P14B26BTU-B04	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14B26CTD-G11	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14B26CTU-B06	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14B30ATD-F07	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B30ATU-A02	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B30BTD-F09	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B30BTU-A04	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B30CTD-F11	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B30CTU-A06	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B36ATD-H07	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14B36ATU-C02	ASV3	0.111018596	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14B36BTD-H09	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14B36BTU-C04	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14B36CTD-A12	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14B36CTU-C06	ASV3	1.873895109	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M20ATD-A08	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M20ATU-D02	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M20BTD-A10	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M20BTU-D04	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M20CTD-B12	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M20CTU-D06	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M26ATD-C08	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M26ATU-F02	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M26BTD-C10	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M26BTU-F04	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M26CTD-D12	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M26CTU-F06	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M30ATD-B08	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M30ATU-E02	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M30BTD-B10	ASV3	0.962800875	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M30BTU-E04	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M30CTD-C12	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M30CTU-E06	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M36ATD-D08	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M36ATU-G02	ASV3	0.879765396	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M36BTD-D10	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M36BTU-G04	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M36CTD-E12	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M36CTU-G06	ASV3	3.181282612	Seed	Alternaria infectoria	Ascomycota	Low	Stem
ITS1-D0A	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Soil
ITS1-D0B	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Soil
ITS1-D0C	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Soil
ITS1-D6A	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Soil
ITS1-D6B	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Soil
ITS1-D6C	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Soil
ITS-Boston-AF-1	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-AF-2017-Boston-1	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-AF-2017-Boston-4	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-AF-2017-Boston-5	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-AF-2017-Major-1	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-AF-2017-Major-2	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-AF-2017-Major-3	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-AF-2017-Major-4	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
ITS-AF-2017-Major-5	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	ns	Seed
P14B20ATD-E07	ASV32	0.126103405	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14B20ATU-H01	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14B20BTD-E09	ASV32	0.176709666	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14B20BTU-H03	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14B20CTD-E11	ASV32	0.161364684	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14B20CTU-H05	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14B26ATD-G07	ASV32	2.427490542	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14B26ATU-B02	ASV32	0.685714286	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
P14B26BTD-G09	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14B26BTU-B04	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
P14B26CTD-G11	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14B26CTU-B06	ASV32	1.327384272	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
P14B30ATD-F07	ASV32	0.279589935	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14B30ATU-A02	ASV32	0.085215168	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14B30BTD-F09	ASV32	0.10252905	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14B30BTU-A04	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14B30CTD-F11	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14B30CTU-A06	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14B36ATD-H07	ASV32	3.667185608	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14B36ATU-C02	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
P14B36BTD-H09	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14B36BTU-C04	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
P14B36CTD-A12	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14B36CTU-C06	ASV32	0.919269299	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
P14M20ATD-A08	ASV32	0.267379679	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14M20ATU-D02	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14M20BTD-A10	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14M20BTU-D04	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14M20CTD-B12	ASV32	0.610307414	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14M20CTU-D06	ASV32	0.165016502	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14M26ATD-C08	ASV32	1.306655778	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14M26ATU-F02	ASV32	0.135846493	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
P14M26BTD-C10	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14M26BTU-F04	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
P14M26CTD-D12	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14M26CTU-F06	ASV32	0.422764228	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
P14M30ATD-B08	ASV32	0.141342756	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14M30ATU-E02	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14M30BTD-B10	ASV32	0.393873085	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14M30BTU-E04	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14M30CTD-C12	ASV32	0.401267159	Soil & Root	Metarhizium marquandii	Ascomycota	High	Root
P14M30CTU-E06	ASV32	0.065430752	Soil & Root	Metarhizium marquandii	Ascomycota	High	Stem
P14M36ATD-D08	ASV32	0.647548566	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14M36ATU-G02	ASV32	0.73313783	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
P14M36BTD-D10	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14M36BTU-G04	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
P14M36CTD-E12	ASV32	0.095854301	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Root
P14M36CTU-G06	ASV32	0.201986198	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Stem
ITS1-D0A	ASV32	1.570114762	Soil & Root	Metarhizium marquandii	Ascomycota	High	Soil
ITS1-D0B	ASV32	0.122890002	Soil & Root	Metarhizium marquandii	Ascomycota	High	Soil
ITS1-D0C	ASV32	0.152927351	Soil & Root	Metarhizium marquandii	Ascomycota	High	Soil
ITS1-D6A	ASV32	0.649853932	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Soil
ITS1-D6B	ASV32	0	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Soil
ITS1-D6C	ASV32	7.872539831	Soil & Root	Metarhizium marquandii	Ascomycota	Low	Soil
ITS-Boston-AF-1	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-AF-2017-Boston-1	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-AF-2017-Boston-4	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-AF-2017-Boston-5	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-AF-2017-Major-1	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-AF-2017-Major-2	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-AF-2017-Major-3	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-AF-2017-Major-4	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
ITS-AF-2017-Major-5	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	ns	Seed
P14B20ATD-E07	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14B20ATU-H01	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14B20BTD-E09	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14B20BTU-H03	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14B20CTD-E11	ASV4	0.161364684	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14B20CTU-H05	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14B26ATD-G07	ASV4	0.220680958	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14B26ATU-B02	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
P14B26BTD-G09	ASV4	88.32512315	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14B26BTU-B04	ASV4	37.21295108	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
P14B26CTD-G11	ASV4	99.17855599	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14B26CTU-B06	ASV4	93.57501394	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
P14B30ATD-F07	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14B30ATU-A02	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14B30BTD-F09	ASV4	1.110731374	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14B30BTU-A04	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14B30CTD-F11	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14B30CTU-A06	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14B36ATD-H07	ASV4	0.034596091	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14B36ATU-C02	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
P14B36BTD-H09	ASV4	72.86172896	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14B36BTU-C04	ASV4	39.80919341	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
P14B36CTD-A12	ASV4	97.65784114	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14B36CTU-C06	ASV4	91.26694166	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
P14M20ATD-A08	ASV4	17.53246753	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14M20ATU-D02	ASV4	0.140873415	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14M20BTD-A10	ASV4	0.918686474	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14M20BTU-D04	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14M20CTD-B12	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14M20CTU-D06	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14M26ATD-C08	ASV4	1.592486729	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14M26ATU-F02	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
P14M26BTD-C10	ASV4	95.21886154	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14M26BTU-F04	ASV4	34.11694688	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
P14M26CTD-D12	ASV4	97.30136986	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14M26CTU-F06	ASV4	88.03252033	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
P14M30ATD-B08	ASV4	6.007067138	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14M30ATU-E02	ASV4	0.044533511	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14M30BTD-B10	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14M30BTU-E04	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14M30CTD-C12	ASV4	0.063357973	Root	Peziza ostracoderma-3	Ascomycota	High	Root
P14M30CTU-E06	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Stem
P14M36ATD-D08	ASV4	84.73635523	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14M36ATU-G02	ASV4	6.026392962	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
P14M36BTD-D10	ASV4	91.83906406	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14M36BTU-G04	ASV4	39.29844574	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
P14M36CTD-E12	ASV4	97.05248023	Root	Peziza ostracoderma-3	Ascomycota	Low	Root
P14M36CTU-G06	ASV4	86.16394546	Root	Peziza ostracoderma-3	Ascomycota	Low	Stem
ITS1-D0A	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Soil
ITS1-D0B	ASV4	0.009274717	Root	Peziza ostracoderma-3	Ascomycota	High	Soil
ITS1-D0C	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	High	Soil
ITS1-D6A	ASV4	0	Root	Peziza ostracoderma-3	Ascomycota	Low	Soil
ITS1-D6B	ASV4	0.251556417	Root	Peziza ostracoderma-3	Ascomycota	Low	Soil
ITS1-D6C	ASV4	1.487816307	Root	Peziza ostracoderma-3	Ascomycota	Low	Soil
ITS-Boston-AF-1	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-1	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-4	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-5	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-AF-2017-Major-1	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-AF-2017-Major-2	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-AF-2017-Major-3	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-AF-2017-Major-4	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
ITS-AF-2017-Major-5	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	ns	Seed
P14B20ATD-E07	ASV40	3.720050441	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14B20ATU-H01	ASV40	7.859078591	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14B20BTD-E09	ASV40	0.636154798	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14B20BTU-H03	ASV40	0.620395502	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14B20CTD-E11	ASV40	2.627939142	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14B20CTU-H05	ASV40	0.836920134	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14B26ATD-G07	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14B26ATU-B02	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
P14B26BTD-G09	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14B26BTU-B04	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
P14B26CTD-G11	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14B26CTU-B06	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
P14B30ATD-F07	ASV40	5.824790308	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14B30ATU-A02	ASV40	6.625479335	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14B30BTD-F09	ASV40	1.076555024	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14B30BTU-A04	ASV40	6.136101499	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14B30CTD-F11	ASV40	1.535974131	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14B30CTU-A06	ASV40	1.836940111	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14B36ATD-H07	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14B36ATU-C02	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
P14B36BTD-H09	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14B36BTU-C04	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
P14B36CTD-A12	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14B36CTU-C06	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
P14M20ATD-A08	ASV40	3.170359053	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14M20ATU-D02	ASV40	2.777218756	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14M20BTD-A10	ASV40	0.586395622	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14M20BTU-D04	ASV40	2.433668801	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14M20CTD-B12	ASV40	1.33363472	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14M20CTU-D06	ASV40	0.693069307	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14M26ATD-C08	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14M26ATU-F02	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
P14M26BTD-C10	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14M26BTU-F04	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
P14M26CTD-D12	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14M26CTU-F06	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
P14M30ATD-B08	ASV40	1.060070671	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14M30ATU-E02	ASV40	6.101091071	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14M30BTD-B10	ASV40	1.400437637	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14M30BTU-E04	ASV40	2.293233083	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14M30CTD-C12	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	High	Root
P14M30CTU-E06	ASV40	4.27480916	Stem	Fusicolla aquaeductuum	Ascomycota	High	Stem
P14M36ATD-D08	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14M36ATU-G02	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
P14M36BTD-D10	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14M36BTU-G04	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
P14M36CTD-E12	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Root
P14M36CTU-G06	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Stem
ITS1-D0A	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	High	Soil
ITS1-D0B	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	High	Soil
ITS1-D0C	ASV40	0.033804993	Stem	Fusicolla aquaeductuum	Ascomycota	High	Soil
ITS1-D6A	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Soil
ITS1-D6B	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Soil
ITS1-D6C	ASV40	0	Stem	Fusicolla aquaeductuum	Ascomycota	Low	Soil
ITS-Boston-AF-1	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-1	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV47	0	Stem	Acremonium curvulum	Ascomycota	ns	Seed
