Sample	ASV	Relative_abundance	Prevalence_Compartment	Species	Phylum	Soil_div	Compartment
P14B26BTU-B04	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14B26CTD-G11	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14B26CTU-B06	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14B30ATD-F07	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B30ATU-A02	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B30BTD-F09	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B30BTU-A04	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B30CTD-F11	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B30CTU-A06	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B36ATD-H07	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14B36ATU-C02	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14B36BTD-H09	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14B36BTU-C04	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14B36CTD-A12	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14B36CTU-C06	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M20ATD-A08	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M20ATU-D02	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M20BTD-A10	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M20BTU-D04	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M20CTD-B12	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M20CTU-D06	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M26ATD-C08	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M26ATU-F02	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M26BTD-C10	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M26BTU-F04	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M26CTD-D12	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M26CTU-F06	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M30ATD-B08	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M30ATU-E02	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M30BTD-B10	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M30BTU-E04	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M30CTD-C12	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14M30CTU-E06	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14M36ATD-D08	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M36ATU-G02	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M36BTD-D10	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M36BTU-G04	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14M36CTD-E12	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14M36CTU-G06	ASV11	0.774280424	Seed	Alternaria infectoria	Ascomycota	Low	Stem
ITS1-D0A	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Soil
ITS1-D0B	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Soil
ITS1-D0C	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Soil
ITS1-D6A	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Soil
ITS1-D6B	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Soil
ITS1-D6C	ASV11	0.019525148	Seed	Alternaria infectoria	Ascomycota	Low	Soil
ITS-Boston-AF-1	ASV16	10.49510229	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV16	9.314487633	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV16	8.698495749	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV16	7.926866306	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV16	11.35087938	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV16	4.214503706	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV16	7.506312648	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV16	3.456595166	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV16	12.32974445	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV16	20.25504616	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-AF-2017-Boston-1	ASV16	2.388737511	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV16	2.008094377	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV16	2.854887515	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-AF-2017-Boston-4	ASV16	2.596294155	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-AF-2017-Boston-5	ASV16	2.670069323	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-AF-2017-Major-1	ASV16	0.785716731	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-AF-2017-Major-2	ASV16	0.780289494	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-AF-2017-Major-3	ASV16	1.217998554	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-AF-2017-Major-4	ASV16	1.045963753	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
ITS-AF-2017-Major-5	ASV16	0.785730572	Seed	Unclassified Sclerotiniaceae	Ascomycota	ns	Seed
P14B20ATD-E07	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14B20ATU-H01	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
P14B20BTD-E09	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14B20BTU-H03	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
P14B20CTD-E11	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Root
P14B20CTU-H05	ASV16	0	Seed	Unclassified Sclerotiniaceae	Ascomycota	High	Stem
